UF;GOVERNADOR;DATA;ÓTIMO/BOM;REGULAR;RUIM/PÉSSIMO;NS/NR
RS;OLÍVIO DUTRA;jun/99;28;38;30;4
RS;OLÍVIO DUTRA;dez/99;21;39;37;3
RS;OLÍVIO DUTRA;jun/00;24;39;37;1
RS;OLÍVIO DUTRA;dez/00;28;44;26;2
RS;OLÍVIO DUTRA;jun/01;27;42;31;1
RS;OLÍVIO DUTRA;dez/01;24;44;30;2
RS;OLÍVIO DUTRA;dez/02;30;39;30;1
RS;GERMANO RIGOTTO;dez/03;55;36;7;2
RS;YEDA CRUSIUS;mai/09;15;33;51;1
RS;TARSO GENRO;ago/14;30;44;22;4
