UF;GOVERNADOR;DATA;ÓTIMO/BOM;REGULAR;RUIM/PÉSSIMO;NS/NR
PR;JAIME LERNER;jun/99;52;26;19;3
PR;JAIME LERNER;dez/99;46;30;22;2
PR;JAIME LERNER;jun/00;44;27;27;1
PR;JAIME LERNER;jun/01;27;37;32;3
PR;JAIME LERNER;dez/01;26;33;37;3
PR;JAIME LERNER;dez/02;28;34;36;2
PR;ROBERTO REQUIÃO;dez/03;59;25;13;2
PR;BETO RICHA;ago/14;48;34;15;2




