UF;GOVERNADOR;DATA;ÓTIMO/BOM;REGULAR;RUIM/PÉSSIMO;NS/NR
CE;LÚCIO ALCÂNTARA;dez/03;49;29;15;7
CE;CID GOMES;nov/07;45;32;18;5
CE;CID GOMES;mar/09;54;30;14;2
CE;CID GOMES;dez/09;51;29;14;6
CE;CID GOMES;jul/10;45;37;14;4
CE;CID GOMES;ago/10;52;33;10;4
CE;CID GOMES;nov/10;65;25;8;2
CE;CID GOMES;ago/14;46;34;15;5

