UF;GOVERNADOR;DATA;ÓTIMO/BOM;REGULAR;RUIM/PÉSSIMO;NS/NR
MS;WILSON BARBOSA MARTINS;mar/95;43;34;11;11
MS;WILSON BARBOSA MARTINS;jun/95;47;32;14;8
MS;WILSON BARBOSA MARTINS;dez/95;45;32;18;5
MS;WILSON BARBOSA MARTINS;dez/96;25;39;32;3
MS;WILSON BARBOSA MARTINS;jun/97;22;34;40;3
MS;WILSON BARBOSA MARTINS;dez/97;28;43;26;4


