UF;GOVERNADOR;DATA;ÓTIMO/BOM;REGULAR;RUIM/PÉSSIMO;NS/NR
DF;JOAQUIM RORIZ;jun/99;30;30;35;4
DF;JOAQUIM RORIZ;dez/99;28;32;39;1
DF;JOAQUIM RORIZ;jun/00;34;31;34;1
DF;JOAQUIM RORIZ;dez/00;28;31;39;1
DF;JOAQUIM RORIZ;jun/01;39;36;23;2
DF;JOAQUIM RORIZ;dez/01;42;33;23;1
DF;JOAQUIM RORIZ;dez/02;43;24;32;1
DF;JOAQUIM RORIZ;dez/03;51;23;25;1
DF;AGNELO QUEIROZ;ago/14;15;36;46;2

