UF;GOVERNADOR;DATA;ÓTIMO/BOM;REGULAR;RUIM/PÉSSIMO;NS/NR
BA;PAULO SOUTO;mar/95;36;33;17;12
BA;PAULO SOUTO;jun/95;47;34;12;7
BA;PAULO SOUTO;dez/95;55;30;9;6
BA;PAULO SOUTO;dez/96;55;30;11;5
BA;PAULO SOUTO;jun/97;47;34;12;6
BA;PAULO SOUTO;dez/97;54;31;9;5
BA;PAULO SOUTO;jun/98;40;28;9;23
BA;PAULO SOUTO;dez/98;62;24;7;7
BA;PAULO SOUTO;dez/03;52;30;14;4
